mean_AccX(g),min_AccX(g),max_AccX(g),mean_ΔAccX,min_ΔAccX,max_ΔAccX,mean_AccY(g),min_AccY(g),max_AccY(g),mean_ΔAccY,min_ΔAccY,max_ΔAccY,mean_AccZ(g),min_AccZ(g),max_AccZ(g),mean_ΔAccZ,min_ΔAccZ,max_ΔAccZ,mean_GyrX(d/s),min_GyrX(d/s),max_GyrX(d/s),mean_ΔGyrX,min_ΔGyrX,max_ΔGyrX,mean_GyrY(d/s),min_GyrY(d/s),max_GyrY(d/s),mean_ΔGyrY,min_ΔGyrY,max_ΔGyrY,mean_GyrZ(d/s),min_GyrZ(d/s),max_GyrZ(d/s),mean_ΔGyrZ,min_ΔGyrZ,max_ΔGyrZ,isFall
27.931142857142863,0.0,32.0,625.6190476190476,-117,65511,29.78571428571428,0.07,31.99,0.0380952380952381,-155,235,1.5075238095238095,0.18,31.98,-11.247619047619047,-863,48,3907.502857142857,3905.37,3910.24,0.7619047619047619,-48,64,2021.246761904762,0.55,3996.04,-622.1619047619048,-65522,65502,2205.3746666666666,0.55,3995.73,3.1619047619047618,-36,157,1
18.95,0.01,31.97,27.52777777777778,-101,669,29.68972222222222,0.08,32.0,-12.055555555555555,-65508,65217,8.616111111111111,0.09,31.99,1867.1944444444443,-65,63296,3904.715277777778,3902.44,3908.29,1.7777777777777777,-64,64,1894.203611111111,1.4,3995.73,20.11111111111111,-101,942,2873.942222222222,8.17,3993.35,27.25,-46,640,1
24.44173076923077,0.03,31.96,-30.5,-1571,69,27.999423076923073,0.02,32.0,-1264.2115384615386,-65525,324,9.592307692307692,0.01,31.95,83.07692307692308,-118,3901,3903.0569230769233,3900.49,3905.37,-4.615384615384615,-64,80,2057.5576923076924,0.98,3995.91,1261.0384615384614,-73,65509,2222.5824999999995,0.43,3994.63,1265.1153846153845,-82,65523,1
23.18322033898305,0.02,31.97,84.15254237288136,-93,4816,28.26474576271186,0.07,31.98,-1071.1186440677966,-63556,195,8.326271186440678,0.01,31.98,-32.54237288135593,-1551,80,3902.1406779661015,3900.49,3905.37,0.2711864406779661,-64,64,2412.946101694915,3.84,3994.63,-1107.8135593220338,-65505,217,2426.1896610169492,0.49,3995.98,-1090.6271186440679,-65528,1031,1
27.585714285714285,0.03,31.94,-1832.8857142857144,-64381,421,29.886285714285712,0.6,31.97,-1872.4,-65432,204,11.030000000000001,0.02,31.91,26.62857142857143,-83,715,3901.0165714285718,3899.51,3902.44,-2.2857142857142856,-48,48,2162.998285714286,0.91,3993.72,-1.2571428571428571,-213,112,1944.8102857142858,1.16,3995.61,-1876.1714285714286,-65523,115,1
28.6971052631579,0.05,31.67,-8.289473684210526,-752,258,29.989473684210523,0.53,31.98,-14.447368421052632,-604,255,16.006842105263154,0.04,32.0,-21.526315789473685,-65533,64720,3899.9742105263153,3897.56,3902.44,-3.3684210526315788,-64,48,2393.7847368421053,0.18,3996.04,-3478.8947368421054,-65518,131,2215.562368421053,1.59,3995.49,-11.763157894736842,-450,119,1
29.55942857142857,0.64,31.99,-1857.2571428571428,-65512,988,28.025142857142857,0.15,31.91,1819.5714285714287,-194,63751,11.087142857142858,0.0,32.0,1845.0857142857142,-1080,65469,3899.7914285714287,3897.56,3901.46,3.657142857142857,-48,64,1931.0554285714286,6.59,3991.65,-43.25714285714286,-1988,118,2515.482571428571,5.0,3995.61,-41.91428571428571,-65528,64132,1
27.582745098039222,0.01,31.97,-25.901960784313726,-1118,69,29.579019607843133,0.08,31.83,3.980392156862745,-245,461,10.176666666666666,0.02,31.99,1283.4705882352941,-66,65457,3898.824705882353,3896.59,3900.49,0.0,-48,48,1944.347254901961,0.61,3993.96,9.490196078431373,-142,484,2491.2358823529407,0.37,3995.55,0.058823529411764705,-31,85,1
30.161999999999995,0.64,31.68,-17.257142857142856,-913,330,28.11542857142857,0.05,31.93,16.65714285714286,-89,458,16.45485714285714,0.05,31.98,0.8571428571428571,-73,93,3898.1479999999997,3895.61,3900.49,2.742857142857143,-48,64,1925.5320000000004,0.0,3995.67,-1868.4285714285713,-65483,218,2617.717142857143,3.35,3995.43,-1877.4857142857143,-65516,69,1
28.81245614035087,0.02,31.94,9.12280701754386,-167,178,29.26385964912281,0.04,31.95,31.75438596491228,-785,3060,11.657368421052633,0.02,32.0,-54.12280701754386,-3102,248,3897.5800000000004,3895.61,3900.49,-1.9649122807017543,-64,48,2096.4585964912276,0.37,3993.72,2281.6491228070176,-1670,65497,2362.7366666666667,0.0,3995.85,-1144.3157894736842,-65529,217,1
