n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
50,-11016.0,-32768.0,-6276.0,-1120.0,-18807.0,-19495.0,8228.0,7004.0,10092.0,-1040.0,11596.0,19953.0,-880.4,-14643.68,5601.92,-1083.2,-474.94,1500.72,4449.376495645204,6892.1365901728905,2872.2119409263655,18.172506706560874,6001.7181853532575,8099.80016553495,17036.404042848313,8715.725388703408,2025-11-25T15:35:56.289358,2025-11-25T15:35:58.901570,0
50,-12856.0,-32768.0,-17812.0,-1136.0,-18377.0,-32768.0,32767.0,7992.0,23004.0,-1056.0,19106.0,32767.0,2345.02,-13563.76,593.28,-1096.96,-1928.24,7318.36,8520.69816503319,15332.607228465744,7645.476798839952,19.242619364317324,8032.709539277515,18014.329781326865,19922.686608804863,18344.58687830374,2025-11-25T15:35:58.901570,2025-11-25T15:36:01.547573,0
50,-16848.0,-32768.0,-22424.0,-1152.0,-21809.0,-32768.0,32767.0,15296.0,32767.0,-1072.0,32767.0,32767.0,5173.1,-12593.84,668.94,-1111.36,-180.64,-4891.42,9902.929357013509,16243.06783259862,11027.321165922393,17.294808469595726,11986.710854542209,18737.847541369312,22354.26769077824,20067.236398702247,2025-11-25T15:36:01.547573,2025-11-25T15:36:04.207651,0
50,-16492.0,-32768.0,-19988.0,-1168.0,-20554.0,-32768.0,32767.0,12972.0,32767.0,-1104.0,32767.0,32767.0,2516.38,-13380.16,-217.06,-1133.44,2104.7,-1785.76,9712.897373883861,15739.181192628796,9439.146106317034,16.738171943196186,11158.97785148801,19150.85357216226,21215.234408476153,19773.58784437442,2025-11-25T15:36:04.207651,2025-11-25T15:36:06.863519,0
50,-24324.0,-32768.0,-13072.0,-1200.0,-29321.0,-32768.0,17756.0,8204.0,24780.0,-1120.0,9204.0,32767.0,1988.72,-13179.6,836.8,-1151.36,-2962.52,6498.04,7377.818460873105,14607.385206120909,8265.916292825617,19.715739904959186,8295.764732054544,17280.823503479223,19403.328790611842,18209.962732280306,2025-11-25T15:36:06.863519,2025-11-25T15:36:09.520631,0
50,-11656.0,-32768.0,-18444.0,-1216.0,-19276.0,-32768.0,23644.0,12144.0,32767.0,-1136.0,24379.0,32767.0,3834.08,-11854.64,-208.98,-1171.84,-1554.94,-1671.68,7387.2193302757705,15869.937721062424,9885.325189370353,20.126957047700976,9275.209611453532,20034.63684067171,19796.910492823376,20330.338249037024,2025-11-25T15:36:09.520631,2025-11-25T15:36:12.183977,0
50,-8232.0,-32768.0,-12320.0,-1232.0,-10445.0,-32768.0,32767.0,10012.0,22480.0,-1152.0,21124.0,32767.0,5190.66,-9884.48,-1307.44,-1201.28,2717.06,-7587.64,10077.204081708378,14761.898189921241,7432.2790909922105,19.15728582028258,8064.71716902707,16227.342617643839,17396.173508648317,17533.100296722663,2025-11-25T15:36:12.183977,2025-11-25T15:36:14.847128,0
50,-11984.0,-32768.0,-23028.0,-1264.0,-19652.0,-32768.0,29812.0,8120.0,32767.0,-1184.0,21759.0,32767.0,4653.04,-10231.44,3511.0,-1226.56,-513.08,7184.6,8117.197893263414,14234.438689544453,13957.846217808821,21.373029733755576,8029.727952651945,19795.641759740956,18258.3602426435,20712.727008431353,2025-11-25T15:36:14.847128,2025-11-25T15:36:17.498317,0
50,-10540.0,-32768.0,-17524.0,-1280.0,-12816.0,-32768.0,27224.0,9160.0,32767.0,-1216.0,18589.0,27743.0,3588.56,-10471.76,3831.24,-1249.6,1756.28,-6410.62,8319.48067648456,14566.505127256847,12365.66841308629,16.079800993793423,7017.3358450055675,13405.407286449748,18506.673282478176,14529.31681171743,2025-11-25T15:36:17.498317,2025-11-25T15:36:20.161137,0
50,-15572.0,-32768.0,-17576.0,-1312.0,-21774.0,-32768.0,24920.0,8412.0,32767.0,-1232.0,15462.0,32767.0,4854.4,-10204.24,813.16,-1277.76,817.68,-1182.78,9032.3761126295,14621.465106561654,11058.578974461412,16.935831836671028,7839.53959984896,17782.86709312084,17855.81200829621,17034.64373780057,2025-11-25T15:36:20.161137,2025-11-25T15:36:22.816185,0
