min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,classe
-27896.0,-24232.0,-19216.0,-2562.0,-17464.0,-25052.0,25192.0,4704.0,8468.0,-1264.0,13758.0,27880.0,2182.2632911392407,-12127.53417721519,-3106.896202531645,-1325.9367088607594,455.6962025316456,-168.69240506329115,9275.62493122997,5902.706587571374,4476.219150171864,47.68887612037108,3297.732544192077,6223.150326209431,17180.726070715675,5590.3012266998685,1
-9316.0,-27640.0,-6424.0,-832.0,-18917.0,-14873.0,14332.0,-5612.0,19580.0,-752.0,13084.0,32767.0,1111.2,-16129.44,453.36,-795.2,-143.76,4553.14,5244.987550032888,3746.562350528815,4857.761631698287,18.172506706560878,6037.606123489673,9329.160107983998,17581.690114163575,9627.947064161508,0
8848.0,-14616.0,-3396.0,-1024.0,-3590.0,-2905.0,14588.0,-10232.0,-248.0,-912.0,2281.0,9145.0,12212.38,-11800.34,-1391.1,-968.96,-612.245,522.68,1118.1245438679896,760.0896555012441,573.82665501003,20.529939113402165,1418.0486186922506,2213.879004733547,17091.509845498644,2557.2081072452,1
-13876.0,-15092.0,-2104.0,-1040.0,-5337.0,-13370.0,-8508.0,-8728.0,4748.0,-960.0,3174.0,4940.0,-11121.36,-11753.52,958.64,-1001.6,-483.14,-643.08,1206.6563679855171,1468.9971305622078,1471.811207458348,16.62768775266122,1760.7436157487552,3392.820701658135,16359.791011032272,3264.455859674329,0
-13076.0,-12760.0,-1828.0,-768.0,-678.0,-5504.0,-9660.0,-9996.0,3264.0,-672.0,2566.0,2149.0,-11751.36,-11039.28,160.16,-714.24,351.6,-513.0,1120.3200571265338,917.9952731904452,1733.1523113679305,18.31563266720536,811.0674447911222,1311.1443398802437,16279.371869022343,1472.091386931129,0
-11268.0,-22360.0,-6780.0,-1248.0,-14449.0,-10538.0,6548.0,-6264.0,15276.0,-1152.0,5305.0,24428.0,46.32581453634085,-13059.258145363408,5516.100250626567,-1200.6015037593984,-1208.659147869674,1658.904761904762,2165.126591449743,3635.262709688076,7162.630523768834,18.51746037098063,3588.729994237394,4132.469349343142,16399.556890688345,4834.343110350606,1
-5800.0,-16804.0,424.0,-960.0,-2267.0,-5121.0,-1448.0,-12900.0,5176.0,-864.0,3593.0,3448.0,-3453.44,-15700.48,2664.0,-916.48,28.84,97.94,940.3535539359652,647.9094455246042,1218.9758324101426,19.47535879001976,1693.2841741420723,1673.2829696139263,16369.938021321745,2341.624418360024,0
-15660.0,-23116.0,-22812.0,-1456.0,-9179.0,-17920.0,20280.0,6876.0,7328.0,-1328.0,11718.0,25032.0,2803.2489451476795,-11158.506329113923,-5016.679324894515,-1388.3206751054852,2.1434599156118144,-359.5137130801688,9224.377450621176,5189.117482767175,5536.087091180351,19.06414097918368,3058.2621358633637,5657.073320135599,17182.412267235955,5050.791580862036,1
-14408.0,-26008.0,-3600.0,-1296.0,-14406.0,-32768.0,23844.0,4584.0,27832.0,-1184.0,18345.0,17317.0,4307.552123552124,-9194.061776061775,10355.675675675677,-1239.7220077220077,-561.2606177606177,-863.7779922779923,4569.828504021069,4897.58722529659,4910.938268267736,20.09821296306765,6923.295241961588,8216.995167220539,16357.585591248331,8991.019907858989,1
-14448.0,-27340.0,-20644.0,-1440.0,-9277.0,-17494.0,6924.0,1300.0,9436.0,-1328.0,13739.0,18290.0,-3223.850622406639,-12633.170124481328,-6157.128630705394,-1391.0373443983403,-24.363070539419088,-1080.280082987552,5105.45220995582,5815.404359029943,5856.169525771473,18.42610721158097,3980.226626052316,4896.680369966975,17097.96312365052,5177.893316125265,1
