n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
50,-2268.0,-17468.0,236.0,-1040.0,-2779.0,-6400.0,2824.0,-15208.0,4052.0,-976.0,1306.0,6888.0,-451.44,-16320.96,2182.08,-999.68,-253.8,-240.14,934.7958100034467,359.2174249671082,641.3157674656067,14.39644400537855,658.3384539885241,2228.9255170148685,16511.053647052933,2067.8969927626313,2025-11-25T15:43:58.489077,2025-11-25T15:44:01.106424,0
50,-20556.0,-32768.0,-5776.0,-1056.0,-16507.0,-20848.0,19788.0,-2696.0,12148.0,-960.0,18475.0,25856.0,187.28,-16240.0,3127.36,-1001.28,911.16,5314.72,7409.597438565742,5028.025393730624,3030.7239911281927,19.488499172588945,5992.866313743366,10541.752435036597,18297.24216717146,10733.774516637939,2025-11-25T15:44:01.106424,2025-11-25T15:44:03.780487,0
50,-26484.0,-32768.0,-19136.0,-1072.0,-19217.0,-32768.0,32096.0,10460.0,22944.0,-992.0,13805.0,32767.0,1738.8,-13912.72,-1602.88,-1029.76,-2753.96,3244.5,11228.659766864432,14934.737765411215,7628.044469298799,19.40160818076687,8031.222815885511,20003.098474236434,21632.097375427213,19759.18708846634,2025-11-25T15:44:03.780487,2025-11-25T15:44:06.451263,0
50,-13512.0,-32768.0,-28572.0,-1104.0,-29604.0,-32768.0,32767.0,17680.0,14612.0,-1008.0,32767.0,32767.0,4946.94,-13476.72,-2711.04,-1048.64,-939.64,3914.7,9939.37192464393,15772.176163155165,8660.569350706684,19.780556109472755,12366.362853741597,19473.125877732113,22220.913298269472,20828.88416903957,2025-11-25T15:44:06.451263,2025-11-25T15:44:09.122264,0
50,-19784.0,-32768.0,-27528.0,-1136.0,-19137.0,-32768.0,32767.0,14688.0,27024.0,-1024.0,24443.0,32767.0,5774.26,-11444.88,-1090.24,-1072.32,-121.9,-3108.42,11195.539479292634,14649.496074118044,10954.683211412368,21.582807973014077,10364.59225681358,18883.650932052307,20177.80254287547,19705.393647946024,2025-11-25T15:44:09.122264,2025-11-25T15:44:11.789415,0
50,-8096.0,-32768.0,-9384.0,-1152.0,-11155.0,-32768.0,32767.0,14296.0,20868.0,-1072.0,16941.0,32463.0,4895.94,-8740.24,-463.12,-1112.64,1540.1,-3675.56,10211.590531175836,14913.48040741664,5880.926636644943,18.716580884338892,6388.057264145336,13841.452955755765,16463.511038467892,13775.064045889929,2025-11-25T15:44:11.789415,2025-11-25T15:44:14.445617,0
50,-14584.0,-32768.0,-16400.0,-1200.0,-15662.0,-25703.0,32767.0,17208.0,29904.0,-1104.0,23692.0,32767.0,5144.82,-8550.08,1619.68,-1150.72,-946.84,2.52,11047.63284091212,14829.006866058158,9767.196685723084,20.698830884859174,6614.947731796526,12614.547266136824,17537.760118492366,12050.819912556357,2025-11-25T15:44:14.445617,2025-11-25T15:44:17.118394,0
50,-17196.0,-32768.0,-12272.0,-1232.0,-8281.0,-22421.0,32767.0,12904.0,30224.0,-1136.0,8984.0,32767.0,7375.08,-9214.08,2094.4,-1188.48,-108.06,419.96,11701.852988035698,15442.440786145175,9038.054622539079,22.179486017489225,4597.371059246795,11533.78269599354,18404.77344303343,10596.40687413962,2025-11-25T15:44:17.118394,2025-11-25T15:44:19.776908,0
50,-16128.0,-32768.0,-15384.0,-1280.0,-23328.0,-20308.0,31992.0,10988.0,26092.0,-1184.0,9228.0,32767.0,4564.64,-9078.4,489.12,-1228.8,-2720.14,6340.2,11067.895550211882,14786.438132288655,8189.072759818416,22.4,7165.532044475134,12475.520749050918,17008.06490297857,13379.459515167475,2025-11-25T15:44:19.776908,2025-11-25T15:44:22.437054,0
50,-18044.0,-32768.0,-22960.0,-1280.0,-15409.0,-32768.0,21484.0,11532.0,20816.0,-1200.0,31968.0,32767.0,3003.68,-12644.8,-1622.56,-1243.2,985.14,-5066.12,9216.053292901468,15258.380789585768,9028.299357376227,17.88854381999832,10597.446847255238,18751.377482883756,20532.8000988337,20124.142468433118,2025-11-25T15:44:22.437054,2025-11-25T15:44:25.096995,0
50,-12704.0,-32768.0,-15736.0,-1312.0,-21704.0,-32768.0,32767.0,19272.0,20168.0,-1232.0,21511.0,32767.0,4554.52,-12462.32,-1617.52,-1266.24,276.48,-1692.48,8894.598239920677,15970.094072910153,7529.526174308713,17.235498252153896,8536.698523996265,20230.843844229534,20480.761118906605,19305.226991367756,2025-11-25T15:44:25.096995,2025-11-25T15:44:27.759260,0
