fall_id,n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
1,493,-25104.0,-24924.0,-11556.0,-1024.0,-11578.0,-31797.0,3852.0,776.0,10100.0,-896.0,17576.0,24102.0,-6852.137931034483,-13223.245436105477,-517.0060851926978,-959.3509127789047,157.87423935091277,1970.8559837728194,5022.232200233705,3528.9835734195435,4733.475859657353,20.320369784354806,3962.2617826802557,8579.587778668387,16706.582140551855,8016.28893692925,2025-11-25T17:06:41.540377,2025-11-25T17:06:56.024683,1
2,715,-14536.0,-27624.0,-11552.0,-1088.0,-18690.0,-26813.0,26200.0,3380.0,16168.0,-928.0,14350.0,32767.0,4732.643356643357,-9433.348251748252,8875.255944055943,-1015.3622377622378,1164.4013986013986,-908.379020979021,3050.8468195178466,5734.001473273611,6583.1493817203545,20.81087600336385,3607.10860978641,6260.629209679993,16413.058429215722,4924.268852855356,2025-11-25T17:06:56.023164,2025-11-25T17:07:11.220560,1
3,444,-32768.0,-29036.0,-7820.0,-1088.0,-22236.0,-32768.0,21556.0,10344.0,32767.0,-976.0,14945.0,32767.0,2158.801801801802,-13819.045045045044,3164.1936936936936,-1039.1711711711712,-321.6734234234234,1180.304054054054,4764.081689906761,4403.542131543339,7000.455202918474,21.14977642370014,6251.443186466467,9909.954862574898,16815.627766286474,9999.655817370287,2025-11-25T17:07:11.219368,2025-11-25T17:07:21.764655,1
4,306,-10688.0,-23180.0,-12208.0,-1120.0,-21503.0,-30221.0,20140.0,5036.0,27848.0,-1024.0,17700.0,21590.0,1868.640522875817,-13379.124183006536,2199.9607843137255,-1075.6078431372548,-1398.7124183006536,186.33986928104576,5733.807509591747,4471.379406294673,7630.5282934851775,19.98569269105795,7574.468746592976,12204.15396422579,16942.920593922798,12946.719083859622,2025-11-25T17:07:21.763672,2025-11-25T17:07:30.776116,1
5,367,-9696.0,-22948.0,-7964.0,-1152.0,-16702.0,-25432.0,12812.0,-1384.0,24072.0,-1040.0,17026.0,16429.0,2428.959128065395,-11818.179836512261,6409.569482288828,-1100.817438692098,725.6948228882834,-2390.310626702997,4286.513553917772,4800.070521771566,7435.5876503248,19.16362701902149,6443.816447011797,8642.884831706237,16545.292741192585,9376.873585309026,2025-11-25T17:07:30.775168,2025-11-25T17:07:42.125361,1
6,441,-12380.0,-32768.0,-7856.0,-1152.0,-32768.0,-26299.0,32767.0,-2572.0,32767.0,-1056.0,18326.0,32767.0,1446.873015873016,-10918.657596371882,8187.108843537415,-1110.9659863945578,-580.1814058956916,-871.18820861678,3719.380906012597,5199.452656807138,7030.777260453659,18.228611844752823,6962.378251029067,9264.180773766344,16411.53412184452,9518.061171677846,2025-11-25T17:07:42.124835,2025-11-25T17:07:54.308548,1
7,465,-8256.0,-24584.0,-5924.0,-1184.0,-15886.0,-31681.0,9400.0,-440.0,26612.0,-1056.0,16536.0,12921.0,754.0215053763441,-9271.647311827957,9877.161290322581,-1112.3956989247313,1068.8602150537633,-1268.0989247311827,2991.4264428493607,5479.991000337783,7025.688492784273,21.401597337524265,5808.12143855277,6438.183964450408,16264.336367420567,6724.35094927716,2025-11-25T17:07:54.307571,2025-11-25T17:08:06.769371,1
8,469,-7936.0,-25932.0,-5788.0,-1168.0,-13870.0,-30004.0,16164.0,-2768.0,30960.0,-1056.0,14455.0,23272.0,544.8528784648188,-13517.799573560767,3840.8017057569296,-1108.3326226012794,-311.8336886993603,-1256.2430703624734,4332.371902355207,3769.995524410117,7596.031878814291,21.343974990345334,5098.54441350859,8383.794541447103,16747.299112358884,7821.456163811739,2025-11-25T17:08:06.768500,2025-11-25T17:08:43.811245,1
