fall_id,n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
20,321,-9244.0,-27496.0,-6476.0,-1248.0,-6033.0,-15946.0,14440.0,-3764.0,20928.0,-1152.0,23234.0,22821.0,3267.0280373831774,-12475.86292834891,4940.760124610591,-1199.7009345794393,2759.2118380062307,-315.07788161993767,5318.2300995479,4897.525298530594,6598.6642862795,19.56308508880902,6065.751810002221,6387.093518728798,16717.9246963815,7267.943230330233,2025-11-25T17:13:58.982456,2025-11-25T17:14:09.957296,1
21,919,-26496.0,-32768.0,-4644.0,-1296.0,-19493.0,-25289.0,16284.0,736.0,31784.0,-1168.0,17008.0,24095.0,2324.557127312296,-11911.717083786725,7415.603917301414,-1223.9042437431992,-1251.2513601741023,-829.6974972796518,4874.920601987377,4949.617193454759,5089.363656115062,21.849011338339686,4610.200140457791,8375.176076683772,16441.386639171775,8119.831182486776,2025-11-25T17:14:09.956363,2025-11-25T17:14:27.820437,1
22,410,-9504.0,-27964.0,-5188.0,-1264.0,-12937.0,-18802.0,12196.0,-2940.0,23540.0,-1152.0,15799.0,23392.0,3780.858536585366,-12360.926829268292,7044.878048780488,-1216.1560975609757,-2392.7536585365856,2229.839024390244,3697.0662969952737,4011.314227740135,6005.431032214829,19.927062720667305,6174.050002586458,6713.088326286634,16574.097701854218,8241.877559676695,2025-11-25T17:14:27.819076,2025-11-25T17:14:39.104021,1
23,378,-12704.0,-27320.0,-4364.0,-1296.0,-9915.0,-32768.0,24728.0,-5180.0,30072.0,-1168.0,18829.0,28464.0,3903.809523809524,-13213.661375661375,5186.719576719577,-1225.989417989418,1285.5661375661375,-1097.2248677248676,6060.434514405824,3456.4207427542765,5138.518124833889,19.624514800186656,4781.037411733808,8331.318470369832,16790.283487761426,7780.20713399726,2025-11-25T17:14:39.102803,2025-11-25T17:14:49.043031,1
24,518,-14408.0,-26008.0,-3600.0,-1296.0,-14406.0,-32768.0,23844.0,4584.0,27832.0,-1184.0,18345.0,17317.0,4307.552123552124,-9194.061776061775,10355.675675675675,-1239.7220077220077,-561.2606177606177,-863.7779922779923,4569.828504021069,4897.58722529659,4910.938268267736,20.098212963067652,6923.295241961588,8216.995167220539,16357.585591248333,8991.019907858989,2025-11-25T17:14:49.042316,2025-11-25T17:15:02.345292,1
25,385,-12916.0,-28032.0,-6904.0,-1312.0,-17764.0,-18196.0,9948.0,-212.0,23660.0,-1200.0,15951.0,21704.0,2358.4415584415583,-11843.792207792209,6906.638961038961,-1247.9168831168831,803.9012987012987,-136.6025974025974,3851.9820180478264,5382.684028830319,6837.892827779354,19.296547047266703,6606.5467467907,6408.57527862562,16585.341614385197,8193.531289929197,2025-11-25T17:15:02.343751,2025-11-25T17:15:12.912422,1
26,471,-27564.0,-29808.0,-18708.0,-1312.0,-26981.0,-32768.0,32767.0,14380.0,32767.0,-1216.0,17685.0,32767.0,3326.0870488322716,-12067.337579617835,7003.428874734607,-1256.7983014861995,-240.21443736730362,-942.2335456475583,5251.615732250081,4785.948261175779,6142.551179805794,18.948350775596563,6323.161212427517,8623.583207098149,16668.24747447433,9145.372651287587,2025-11-25T17:15:12.911633,2025-11-25T17:15:25.805350,1
27,377,-9592.0,-26280.0,-23576.0,-1312.0,-13596.0,-25078.0,16308.0,-456.0,24088.0,-1216.0,12354.0,32767.0,2807.893899204244,-12742.259946949602,5531.172413793103,-1260.5623342175065,558.2944297082228,-1523.3766578249338,5541.986052895954,4425.146040697324,6131.127935006688,18.565589883112448,5640.5125847170075,8152.6594571450505,16711.16088005174,8658.799716912707,2025-11-25T17:15:25.804405,2025-11-25T17:15:37.528454,1
28,430,-32768.0,-32768.0,-10292.0,-1312.0,-14163.0,-32768.0,16928.0,-2356.0,22844.0,-1200.0,18201.0,32767.0,2344.818604651163,-12955.041860465117,5269.097674418605,-1256.893023255814,-342.853488372093,-1196.9511627906977,5726.640113976318,4610.388529570641,6154.575798560543,20.64861496958694,5614.100376019538,8610.23838391525,16765.115624889113,8700.095670817114,2025-11-25T17:15:37.527669,2025-11-25T17:15:49.507244,1
29,537,-13880.0,-22120.0,-9056.0,-1312.0,-26046.0,-29720.0,32767.0,536.0,32767.0,-1200.0,13964.0,17743.0,1096.6685288640597,-10833.333333333334,6750.635009310987,-1255.6871508379888,-1400.8603351955308,1100.9441340782123,5994.046387144848,4791.589930111805,7363.509612838478,19.134895115022424,6778.366136984003,7033.773589571655,16386.384690122133,8539.77345053815,2025-11-25T17:15:49.505710,2025-11-25T17:16:00.103270,1
30,3657,-13872.0,-32768.0,-8732.0,-1312.0,-31165.0,-32768.0,32304.0,5248.0,32767.0,-1040.0,17587.0,32191.0,-993.0653541153952,-15219.518731200438,3608.269893355209,-1159.910308996445,-292.04129067541703,19.30188679245283,2765.0361257984123,2280.6144071489616,4141.321497788963,60.86159830778598,3416.2265312097984,3988.310173166702,16523.344624734305,3268.0448634804748,2025-11-25T17:16:00.102349,2025-11-25T17:17:00.462859,1
31,699,-9752.0,-25720.0,-8256.0,-1184.0,-13214.0,-23036.0,13924.0,7252.0,23188.0,-1056.0,18480.0,15990.0,2589.293276108727,-12094.226037195995,5801.339055793991,-1120.6638054363377,509.91416309012874,-852.8855507868384,4398.851541963885,5207.589796190544,6680.322543103061,20.62749509865705,4795.477202300334,6024.559565265153,16503.861374384247,6433.244279856042,2025-11-25T17:17:00.456594,2025-11-25T17:17:09.595846,1
