fall_id,n_samples,min_ax,min_ay,min_az,min_gx,min_gy,min_gz,max_ax,max_ay,max_az,max_gx,max_gy,max_gz,mean_ax,mean_ay,mean_az,mean_gx,mean_gy,mean_gz,std_ax,std_ay,std_az,std_gx,std_gy,std_gz,mag_acc_mean,mag_gyro_mean,timestamp_inicio,timestamp_fim,classe
0,287,-10392.0,-32768.0,-25796.0,-1216.0,-19424.0,-32768.0,32767.0,14016.0,32767.0,-1104.0,27194.0,31092.0,2864.020905923345,-15292.432055749128,191.65853658536585,-1150.7177700348432,183.1114982578397,-409.52613240418117,5736.659699535414,5399.420537507146,5750.453073662308,21.436246890291713,6337.113952101819,8146.11020694371,17374.480538327418,8051.809929398484,2025-11-25T16:58:22.049266,2025-11-25T16:58:32.849979,1
1,399,-11268.0,-22360.0,-6780.0,-1248.0,-14449.0,-10538.0,6548.0,-6264.0,15276.0,-1152.0,5305.0,24428.0,46.32581453634085,-13059.258145363408,5516.100250626567,-1200.6015037593984,-1208.6591478696741,1658.904761904762,2165.126591449743,3635.2627096880756,7162.630523768834,18.51746037098063,3588.729994237394,4132.469349343142,16399.556890688345,4834.343110350606,2025-11-25T16:58:32.849261,2025-11-25T16:58:44.640259,1
2,543,-16976.0,-28704.0,-6184.0,-1264.0,-25053.0,-32768.0,12908.0,-792.0,32767.0,-1152.0,21887.0,21271.0,2511.837937384899,-9306.887661141805,9051.782688766114,-1210.195211786372,-1004.3425414364641,-1442.4088397790056,4998.686198246729,5198.825788970531,6792.607218565196,18.997688506804067,5506.137738570404,7501.850181516927,16241.938452605957,7382.704219271598,2025-11-25T16:58:44.639374,2025-11-25T16:58:58.419194,1
3,472,-7580.0,-24784.0,-6716.0,-1296.0,-12467.0,-31391.0,11024.0,-2616.0,18636.0,-1184.0,18184.0,16113.0,2103.8389830508477,-12167.966101694916,5810.203389830508,-1244.4406779661017,470.0635593220339,-1137.800847457627,3929.3685878900787,5225.861447001603,6969.095500438045,22.454678412108454,6798.164036810523,7873.679688522826,16532.88682944525,8911.48227710472,2025-11-25T16:58:58.418305,2025-11-25T16:59:11.311922,1
4,809,-14948.0,-24608.0,-13040.0,-1344.0,-20666.0,-28331.0,24076.0,-524.0,27988.0,-1216.0,25763.0,26748.0,745.2509270704574,-13881.265760197775,4167.238566131026,-1286.7836835599505,-156.72435105067984,-422.96168108776266,4423.894230846052,4927.640377835783,6128.237213591918,23.190806984281284,7046.7803141196255,7894.2385651734385,16861.157402866982,8634.224215210315,2025-11-25T16:59:11.311262,2025-11-25T16:59:27.937165,1
5,733,-14104.0,-25924.0,-17576.0,-1376.0,-24093.0,-29996.0,21932.0,-460.0,26668.0,-1264.0,27409.0,27420.0,-1351.6780354706684,-14143.399727148704,1568.4856753069578,-1315.5361527967257,215.49795361527967,493.85402455661665,4729.696443483288,4780.490943849713,6686.201048215779,19.6555013648338,6716.268258255054,6716.52223269549,16941.906217687843,7335.036114565315,2025-11-25T16:59:27.935328,2025-11-25T16:59:43.027182,1
